iter	MultiClass
0	2.048748995
1	1.944824106
2	1.864580064
3	1.800518128
4	1.746321136
5	1.699966516
6	1.659971752
7	1.625430874
8	1.597511147
9	1.569459166
10	1.548157524
11	1.52906456
12	1.508882703
13	1.493169167
14	1.476738385
15	1.462978987
16	1.448719986
17	1.43744874
18	1.427780816
19	1.417186875
20	1.405823657
21	1.397401409
22	1.389063872
23	1.381546235
24	1.376557987
25	1.369829628
26	1.363257332
27	1.35773006
28	1.352309633
29	1.346165928
30	1.342264669
31	1.339170259
32	1.333913785
33	1.329021274
34	1.326130524
35	1.323947222
36	1.320506045
37	1.316486868
38	1.313438793
39	1.310833124
40	1.309811662
41	1.308021068
42	1.305368423
43	1.303112889
44	1.301290299
45	1.298934103
46	1.297376671
47	1.295700675
48	1.293204465
49	1.291937401
50	1.290947794
51	1.288876283
52	1.287033799
53	1.285549317
54	1.284321611
55	1.283575616
56	1.281619347
57	1.280745788
58	1.279130033
59	1.278183158
60	1.276811856
61	1.275939568
62	1.275309962
63	1.274341756
64	1.27313378
65	1.271993305
66	1.271092207
67	1.270567087
68	1.269744066
69	1.26926053
70	1.268387964
71	1.267587686
72	1.266902309
73	1.266158814
74	1.265489879
75	1.264637447
76	1.264055365
77	1.263173809
78	1.26256826
79	1.261956478
80	1.261208065
81	1.260698267
82	1.260269883
83	1.259750907
84	1.259066051
85	1.258687725
86	1.258168736
87	1.257458006
88	1.256949173
89	1.256695092
90	1.256075923
91	1.255821578
92	1.254960153
93	1.254259747
94	1.254086779
95	1.253861965
96	1.253214365
97	1.252802566
98	1.252026498
99	1.251604672
100	1.250859665
101	1.250638025
102	1.250298615
103	1.249864234
104	1.249567567
105	1.249241523
106	1.24886005
107	1.248359311
108	1.248183502
109	1.247867126
110	1.24737639
111	1.247098693
112	1.246751047
113	1.246434502
114	1.246063799
115	1.245823318
116	1.24546639
117	1.24508849
118	1.24471751
119	1.244273149
120	1.244111465
121	1.24385967
122	1.243628145
123	1.243494065
124	1.243211509
125	1.24298772
126	1.242779788
127	1.242277093
128	1.242013525
129	1.241840955
130	1.241613145
131	1.241226451
132	1.241069733
133	1.240930446
134	1.240743807
135	1.240546055
136	1.240367787
137	1.240177191
138	1.240061681
139	1.239936538
140	1.23967071
141	1.239454856
142	1.239358443
143	1.23916059
144	1.239049603
145	1.238902203
146	1.238639489
147	1.238535171
148	1.238436011
149	1.238282651
150	1.238150963
151	1.237789487
152	1.237658866
153	1.237586035
154	1.2373326
155	1.237188725
156	1.236893698
157	1.236645591
158	1.236548095
159	1.236393707
160	1.236065535
161	1.235976713
162	1.23584642
163	1.235702925
164	1.235502996
165	1.235282129
166	1.235116278
167	1.234970846
168	1.234856508
169	1.234690412
170	1.234568794
171	1.234356124
172	1.23425436
173	1.234111896
174	1.234031974
175	1.233900867
176	1.233733864
177	1.233561717
178	1.233398684
179	1.233265135
180	1.233032306
181	1.232680607
182	1.232603413
183	1.232469338
184	1.232314935
185	1.232244143
186	1.231948564
187	1.231797317
188	1.231532926
189	1.231433798
190	1.231237179
191	1.231076389
192	1.230843131
193	1.230777187
194	1.230669441
195	1.230602928
196	1.230496253
197	1.230175792
198	1.230023799
199	1.229917256
