iter	Passed	Remaining
0	155	31017
1	162	16039
2	167	11015
3	172	8467
4	178	6980
5	189	6122
6	195	5387
7	200	4802
8	205	4367
9	212	4035
10	218	3758
11	224	3514
12	230	3312
13	236	3138
14	241	2977
15	246	2838
16	251	2711
17	257	2599
18	262	2503
19	268	2414
20	273	2333
21	279	2260
22	285	2195
23	291	2139
24	297	2082
25	303	2030
26	309	1981
27	315	1936
28	320	1890
29	325	1843
30	330	1803
31	337	1770
32	343	1735
33	348	1700
34	353	1668
35	359	1636
36	364	1607
37	370	1580
38	376	1553
39	381	1524
40	385	1496
41	391	1471
42	396	1446
43	400	1421
44	405	1397
45	411	1376
46	415	1353
47	420	1333
48	427	1315
49	431	1295
50	437	1277
51	442	1260
52	448	1244
53	454	1229
54	459	1211
55	465	1195
56	469	1178
57	475	1163
58	480	1147
59	485	1132
60	491	1118
61	497	1107
62	503	1094
63	508	1081
64	514	1068
65	519	1055
66	525	1043
67	532	1033
68	538	1021
69	544	1010
70	549	998
71	554	986
72	560	975
73	566	965
74	572	954
75	578	943
76	585	935
77	591	925
78	597	914
79	603	904
80	608	893
81	618	890
82	625	881
83	632	872
84	639	864
85	646	856
86	653	848
87	662	843
88	669	834
89	674	824
90	680	815
91	686	805
92	693	798
93	700	790
94	706	781
95	712	772
96	718	762
97	723	752
98	728	742
99	734	734
100	740	725
101	746	716
102	752	708
103	757	699
104	762	690
105	767	680
106	773	671
107	778	663
108	784	655
109	790	647
110	797	639
111	802	630
112	809	623
113	815	615
114	821	607
115	826	598
116	831	589
117	836	581
118	842	573
119	847	565
120	852	556
121	859	549
122	864	541
123	870	533
124	875	525
125	881	517
126	887	510
127	894	502
128	901	496
129	907	488
130	914	481
131	919	473
132	925	466
133	931	458
134	936	450
135	941	443
136	947	435
137	953	428
138	959	420
139	964	413
140	970	405
141	976	398
142	982	391
143	988	384
144	993	377
145	999	369
146	1005	362
147	1011	355
148	1016	348
149	1023	341
150	1029	333
151	1034	326
152	1040	319
153	1045	312
154	1050	305
155	1056	297
156	1062	290
157	1068	283
158	1074	277
159	1080	270
160	1087	263
161	1092	256
162	1098	249
163	1104	242
164	1110	235
165	1115	228
166	1121	221
167	1127	214
168	1134	208
169	1139	201
170	1144	194
171	1149	187
172	1155	180
173	1161	173
174	1166	166
175	1172	159
176	1178	153
177	1183	146
178	1189	139
179	1195	132
180	1201	126
181	1207	119
182	1213	112
183	1218	105
184	1223	99
185	1229	92
186	1235	85
187	1241	79
188	1246	72
189	1252	65
190	1257	59
191	1262	52
192	1268	46
193	1273	39
194	1278	32
195	1284	26
196	1289	19
197	1295	13
198	1300	6
199	1306	0
